0.000000000000000000e+00 0.000000000000000000e+00
2.002002002002001985e-02 9.397349181903382487e+01
4.004004004004003969e-02 1.861886496452800088e+02
6.006006006006005954e-02 2.809944821641177555e+02
8.008008008008007939e-02 3.783327326245969857e+02
1.001001001001000923e-01 4.781456514687372419e+02
1.201201201201201191e-01 5.803760757013093325e+02
1.401401401401401459e-01 6.849675021582668251e+02
1.601601601601601588e-01 7.918641546143618370e+02
1.801801801801801717e-01 9.010110447303057981e+02
2.002002002002001846e-01 1.012354026894246431e+03
2.202202202202202252e-01 1.125839847061030241e+03
2.402402402402402382e-01 1.241416185735546833e+03
2.602602602602602788e-01 1.359031695283399358e+03
2.802802802802802917e-01 1.478636031783304588e+03
3.003003003003003046e-01 1.600179881661185618e+03
3.203203203203203175e-01 1.723614983366152728e+03
3.403403403403403304e-01 1.848894144363822761e+03
3.603603603603603434e-01 1.975971253733060848e+03
3.803803803803803563e-01 2.104801290658671860e+03
4.004004004004003692e-01 2.235340329115218537e+03
4.204204204204204376e-01 2.367545539036529135e+03
4.404404404404404505e-01 2.501375184261826234e+03
4.604604604604604634e-01 2.636788617543414148e+03
4.804804804804804763e-01 2.773746272892679372e+03
5.005005005005005447e-01 2.912209655531358294e+03
5.205205205205205576e-01 3.052141329703763404e+03
5.405405405405405705e-01 3.193504904593458377e+03
5.605605605605605835e-01 3.336265018574831629e+03
5.805805805805805964e-01 3.480387322016505095e+03
6.006006006006006093e-01 3.625838458839777559e+03
6.206206206206206222e-01 3.772586047021360173e+03
6.406406406406406351e-01 3.920598658215949854e+03
6.606606606606606480e-01 4.069845796660613360e+03
6.806806806806806609e-01 4.220297877509716272e+03
7.007007007007006738e-01 4.371926204736398176e+03
7.207207207207206867e-01 4.524702948724307134e+03
7.407407407407406996e-01 4.678601123661587735e+03
7.607607607607607125e-01 4.833594564838059341e+03
7.807807807807807254e-01 4.989657905935990129e+03
8.008008008008007383e-01 5.146766556395098632e+03
8.208208208208208623e-01 5.304896678923176296e+03
8.408408408408408752e-01 5.464025167215235342e+03
8.608608608608608881e-01 5.624129623936119060e+03
8.808808808808809010e-01 5.785188339014252961e+03
9.009009009009009139e-01 5.947180268287485887e+03
9.209209209209209268e-01 6.110085012535830174e+03
9.409409409409409397e-01 6.273882796930336553e+03
9.609609609609609526e-01 6.438554450922198157e+03
9.809809809809809655e-01 6.604081388591633186e+03
1.001001001001001089e+00 6.775396069239202006e+03
1.021021021021021102e+00 6.942571373899360879e+03
1.041041041041041115e+00 7.110549261307903180e+03
1.061061061061061128e+00 7.279313313599350295e+03
1.081081081081081141e+00 7.448847605844948703e+03
1.101101101101101154e+00 7.619136689394017594e+03
1.121121121121121167e+00 7.790165575716548119e+03
1.141141141141141180e+00 7.961919720743564540e+03
1.161161161161161193e+00 8.134385009700172304e+03
1.181181181181181206e+00 8.307547742424954777e+03
1.201201201201201219e+00 8.481394619168175268e+03
1.221221221221221231e+00 8.655912726860362454e+03
1.241241241241241244e+00 8.831089525842020521e+03
1.261261261261261257e+00 9.006912837044530534e+03
1.281281281281281270e+00 9.183370829611829322e+03
1.301301301301301283e+00 9.360452008951981043e+03
1.321321321321321296e+00 9.538145205207485560e+03
1.341341341341341309e+00 9.716439562132918581e+03
1.361361361361361322e+00 9.895324526368342049e+03
1.381381381381381335e+00 1.007478983709684144e+04
1.401401401401401348e+00 1.025482551607456480e+04
1.421421421421421361e+00 1.043542185802161839e+04
1.441441441441441373e+00 1.061656942136229191e+04
1.461461461461461386e+00 1.079825901930314467e+04
1.481481481481481399e+00 1.098048171123774409e+04
1.501501501501501412e+00 1.116322879446690604e+04
1.521521521521521425e+00 1.134649179622354495e+04
1.541541541541541438e+00 1.153026246599148726e+04
1.561561561561561451e+00 1.171453276810779244e+04
1.581581581581581464e+00 1.189929487463838268e+04
1.601601601601601477e+00 1.208454115851712595e+04
1.621621621621621712e+00 1.227026418693858068e+04
1.641641641641641725e+00 1.245645671499520176e+04
1.661661661661661737e+00 1.264311167954974007e+04
1.681681681681681750e+00 1.283022219333408793e+04
1.701701701701701763e+00 1.301778153926604136e+04
1.721721721721721776e+00 1.320578316497561536e+04
1.741741741741741789e+00 1.339422067753303236e+04
1.761761761761761802e+00 1.358308783837057672e+04
1.781781781781781815e+00 1.377237855839087933e+04
1.801801801801801828e+00 1.396208689325445994e+04
1.821821821821821841e+00 1.415220703883955503e+04
1.841841841841841854e+00 1.434273332686759932e+04
1.861861861861861867e+00 1.453366022068787606e+04
1.881881881881881879e+00 1.472498231121514436e+04
1.901901901901901892e+00 1.491669431301432996e+04
1.921921921921921905e+00 1.510879106052647330e+04
1.941941941941941918e+00 1.530126750443048513e+04
1.961961961961961931e+00 1.549411870813535097e+04
1.981981981981981944e+00 1.568733984439774213e+04
2.002002002002002179e+00 1.588531814120759191e+04
2.022022022022022192e+00 1.607925384413422398e+04
2.042042042042042205e+00 1.627354566505543880e+04
2.062062062062062218e+00 1.646818918362706609e+04
2.082082082082082231e+00 1.666318007358567047e+04
2.102102102102102243e+00 1.685851410002565535e+04
2.122122122122122256e+00 1.705418711677116153e+04
2.142142142142142269e+00 1.725019506383908083e+04
2.162162162162162282e+00 1.744653396498961592e+04
2.182182182182182295e+00 1.764319992536105201e+04
2.202202202202202308e+00 1.784018912918546994e+04
2.222222222222222321e+00 1.803749783758229023e+04
2.242242242242242334e+00 1.823512238642666853e+04
2.262262262262262347e+00 1.843305918428990844e+04
2.282282282282282360e+00 1.863130471044906153e+04
2.302302302302302373e+00 1.882985551296317863e+04
